match_id,match_name,home_team,away_team,bowling_team,venue,city,innings_id,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain
1298141,IRE v SCOT,SCOT,IRE,SCOT,"Bellerive Oval, Hobart",Hobart,2,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0,FALSE
1298140,SL v UAE,SL,UAE,UAE,Simonds Stadium,Geelong,1,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0,FALSE
1298139,NAM v NED,NAM,NED,NAM,Simonds Stadium,Geelong,2,Bernard Scholtz,4,0,21,1,5.25,10,0,1,0,0,FALSE
1298137,SCOT v WI,SCOT,WI,WI,"Bellerive Oval, Hobart",Hobart,1,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0,FALSE
1298137,SCOT v WI,SCOT,WI,SCOT,"Bellerive Oval, Hobart",Hobart,2,Brad Wheal,4,0,32,2,8,10,4,1,0,0,FALSE
1298135,NAM v SL,NAM,SL,SL,Simonds Stadium,Geelong,1,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0,FALSE
1298135,NAM v SL,NAM,SL,SL,Simonds Stadium,Geelong,1,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0,FALSE
1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,2,Naseem Shah,4,0,30,0,7.5,15,3,1,1,0,FALSE
1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,2,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,FALSE
1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,2,Mohammad Wasim,4,0,38,1,9.5,5,5,0,2,0,FALSE
1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,1,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,FALSE
1298177,NZ v PAK,NZ,PAK,NZ,Sydney Cricket Ground,Sydney,2,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0,FALSE
1298176,INDIA v ZIM,INDIA,ZIM,ZIM,Melbourne Cricket Ground,Melbourne,1,Blessing Muzarabani,4,0,50,1,12.5,5,8,0,1,0,FALSE
1298176,INDIA v ZIM,INDIA,ZIM,INDIA,Melbourne Cricket Ground,Melbourne,2,Ravichandran Ashwin,4,0,22,3,5.5,13,3,0,1,0,FALSE
1298175,BAN v PAK,BAN,PAK,BAN,Adelaide Oval,Adelaide,2,Nasum Ahmed,4,0,14,1,3.5,13,0,0,2,0,FALSE
1298174,NED v SA,NED,SA,SA,Adelaide Oval,Adelaide,1,Wayne Parnell,4,0,32,0,8,10,2,2,1,0,FALSE
1298173,ENG v SL,SL,ENG,SL,Sydney Cricket Ground,Sydney,2,Maheesh Theekshana,4,0,22,0,5.5,11,1,0,1,0,FALSE
1298172,AUS v AFG,AUS,AFG,AFG,Adelaide Oval,Adelaide,1,Mujeeb Ur Rahman,4,0,42,1,10.5,5,4,1,1,0,FALSE
1298172,AUS v AFG,AUS,AFG,AFG,Adelaide Oval,Adelaide,1,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0,FALSE
1298172,AUS v AFG,AUS,AFG,AUS,Adelaide Oval,Adelaide,2,Kane Richardson,4,0,48,1,12,4,3,3,1,0,FALSE
1298171,IRE v NZ,NZ,IRE,IRE,Adelaide Oval,Adelaide,1,Josh Little,4,0,22,3,5.5,10,2,0,1,0,FALSE
1298171,IRE v NZ,NZ,IRE,IRE,Adelaide Oval,Adelaide,1,Mark Adair,4,0,39,1,9.75,9,3,1,3,0,FALSE
1298171,IRE v NZ,NZ,IRE,IRE,Adelaide Oval,Adelaide,1,Gareth Delany,4,0,30,2,7.5,11,3,1,1,0,FALSE
1298171,IRE v NZ,NZ,IRE,NZ,Adelaide Oval,Adelaide,2,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0,FALSE
